id,per_square_meter_price
COL_289284,44283.295144428834
COL_289305,39678.03720928971
COL_289318,40959.55400155956
COL_289354,92453.51407151046
COL_289399,46633.39300458512
COL_289428,37038.40099426346
COL_289460,47074.906658793014
COL_289493,62588.72130945413
COL_289495,47949.1465536384
COL_289749,42305.525175310366
COL_289763,179325.43572418706
COL_289778,47306.82025005191
COL_289801,33985.882220879095
COL_289971,37060.81168514145
COL_290143,48202.78854739286
COL_290169,123723.05468764594
COL_290252,31125.5359544801
COL_290336,45440.17363923511
COL_290398,34975.3981866366
COL_290403,41064.7412743607
COL_290431,34948.674011152936
COL_290466,44276.051213947845
COL_290486,54744.20593593478
COL_290497,33185.34014608907
COL_290510,42720.213792798604
COL_290559,30793.21039049487
COL_290600,72395.38434316008
COL_290602,72809.42332750786
COL_290716,42688.95549203154
COL_290717,29166.789900783282
COL_290876,36717.94734493663
COL_290966,33896.283059546615
COL_291008,29413.019235551346
COL_291021,105540.09044876392
COL_291043,55927.85883130498
COL_291190,54539.61298787876
COL_291192,44482.62145180201
COL_291274,46063.72245711785
COL_291284,61638.36256130006
COL_291397,40370.942042335206
COL_291450,66166.25676264026
COL_291738,46559.08953639089
COL_291740,33374.85664369249
COL_291825,33500.373807657146
COL_291900,50097.82341010354
COL_292045,68066.63948556781
COL_292135,42488.453904933616
COL_292258,36830.33356925619
COL_292275,30485.53656747957
COL_292279,50099.51913322461
COL_292364,49033.07781849621
COL_292417,32192.121048656172
COL_292421,45418.840838248434
COL_292501,52453.5408511222
COL_292654,106973.5965760305
COL_292906,40480.6616574673
COL_292926,24076.71673969379
COL_293123,49799.413753074856
COL_293135,35757.81885337632
COL_293496,42099.48903961279
COL_293497,42019.39720864044
COL_293588,175626.1010921122
COL_293614,109686.12562580737
COL_293631,69073.10129716579
COL_293703,30456.245385383205
COL_293773,37317.38902174089
COL_293780,40527.13269825341
COL_293783,27701.70388768075
COL_293826,39985.461523917205
COL_293889,91308.44750957498
COL_293952,51523.87431906724
COL_293956,33536.989913899866
COL_294068,63845.846536651814
COL_294101,49999.37833385692
COL_294115,46502.211149343086
COL_294143,37369.73670918205
COL_294200,35249.00138732282
COL_294245,27049.203849364305
COL_294261,24414.897105997024
COL_294293,52751.98498795477
COL_294300,56847.3742915383
COL_294350,42385.26204146224
COL_294488,43939.59343657476
COL_294525,47733.26481641346
COL_294553,43397.628938441216
COL_294558,41275.107976607986
COL_294593,44703.407416249334
COL_294691,52792.11945997715
COL_294716,29581.500801149727
COL_294729,50391.609398603585
COL_294785,63743.04418869834
COL_294917,70200.64489152718
COL_294951,27788.876175667683
COL_294975,41826.25510657435
COL_295255,32701.608809469148
COL_295327,24755.56616315887
COL_295509,34254.340787193025
COL_295595,53300.194252629095
COL_296322,38280.07974146956
COL_296509,36009.153883764775
COL_296521,182689.5782243553
COL_296756,35373.10860933438
COL_296901,49068.53664056691
COL_297293,30211.476630408593
COL_297324,40449.41676115872
COL_297326,45825.73277039173
COL_297329,37679.44596552099
COL_297441,38786.772964003074
COL_297472,32539.12476422238
COL_297631,59798.2629751398
COL_297815,81075.33381288104
COL_298020,34602.19809110834
COL_298046,58182.015522871414
COL_298052,35761.945916846336
COL_298055,95807.40054985785
COL_298064,52360.58148483337
COL_298075,52578.758258902926
COL_298099,36863.545699588634
COL_298101,77397.91090126666
COL_298102,50405.637252746266
COL_298103,45690.42731376055
COL_298104,49280.51966485568
COL_298261,62850.715588107014
COL_298459,261704.39464566117
COL_298471,31138.972904396043
COL_298481,54384.92926382486
COL_298516,59784.04472285683
COL_298532,37949.17713918143
COL_298539,37027.7858563464
COL_298593,225927.56355993618
COL_298719,36417.29510536505
COL_298724,42284.00264947893
COL_298733,37404.98723686249
COL_298817,73849.796231112
COL_298837,49907.37765481417
COL_298968,172482.37955792653
COL_299209,50019.04944182081
COL_299221,194916.8648286331
COL_299361,36210.94174462715
COL_299366,92647.3357915236
COL_299450,100662.22661441803
COL_299454,39341.49062751342
COL_299455,85933.19135641148
COL_299459,66056.56103901754
COL_299464,33136.425790950125
COL_299468,53107.9215192801
COL_299486,39041.530872051
COL_299491,86270.69812082118
COL_299497,47649.256404891916
COL_299499,43610.7929412667
COL_299501,77374.29454856335
COL_299540,35751.56654091464
COL_299615,45812.77231382191
COL_299659,150750.6664665104
COL_299678,129928.8127356612
COL_299795,34930.27647214981
COL_299818,40326.67629063319
COL_299819,91612.46184571068
COL_299820,97144.85894975315
COL_299960,52877.214783559386
COL_300095,58847.277463602986
COL_300108,248320.3217727575
COL_300125,24234.95050622418
COL_300144,260328.38538050157
COL_300225,54748.79459021621
COL_300305,192660.0212133667
COL_300423,37414.05984898637
COL_300491,41692.00980062465
COL_300562,37098.6609314852
COL_300747,35520.90314501914
COL_300816,54696.72246552154
COL_300942,38305.10314625269
COL_300959,54598.31247651835
COL_300962,37723.14491097378
COL_301220,37526.80602861119
COL_301285,51763.904897649176
COL_301290,69177.27008303338
COL_301303,79738.94635349765
COL_301367,35630.981443010875
COL_301368,41377.656750152615
COL_301378,84865.52582013115
COL_301401,47655.54037241486
COL_301444,35616.07047430453
COL_301445,40046.72522696809
COL_301574,85937.38979937701
COL_301649,32734.49689029121
COL_301669,54011.50074347761
COL_301670,36716.8699398443
COL_301679,51610.723724970354
COL_301709,24432.22285696711
COL_301757,166600.55957425918
COL_301819,35740.60166812841
COL_301820,37319.62906070325
COL_301821,37749.26565195495
COL_301822,33552.49069342639
COL_301823,34710.259015979726
COL_301843,52628.67317861017
COL_301976,61200.0976114698
COL_301986,36964.0247769117
COL_302097,42979.2149431748
COL_302111,76062.06982622895
COL_302139,39893.875907433416
COL_302293,33020.808760001004
COL_302294,42772.11602998388
COL_302428,46690.08599309477
COL_302465,36981.64355028086
COL_302497,71743.21854123613
COL_302548,33606.69389262672
COL_302597,42778.69266737275
COL_302726,46277.33286214429
COL_302745,49992.378509672155
COL_302873,35788.13862389567
COL_302926,35973.88175004745
COL_302986,48150.92962880202
COL_302987,43584.101137016034
COL_302994,56902.12546872422
COL_303002,81326.75767298923
COL_303004,35352.730646811026
COL_303007,26380.95409886652
COL_303069,54322.536497793626
COL_303147,23057.66984743376
COL_303265,41180.31021267669
COL_303285,80830.07074863616
COL_303366,34082.018347741105
COL_303405,81106.52734823742
COL_303564,38752.94868590685
COL_303569,29351.3480625273
COL_303618,100297.5811938491
COL_303623,57342.17740350182
COL_303624,53942.6811148265
COL_303625,54920.397038816496
COL_303626,49639.54409728807
COL_303627,40226.686133148614
COL_303637,26999.82179069165
COL_303638,27745.609974921485
COL_304041,56096.014725338246
COL_304147,351930.58105215034
COL_304255,195376.50984191106
COL_304280,61528.07568113555
COL_304320,42450.0854679207
COL_304322,47780.080676750855
COL_304323,28667.310265956137
COL_304324,22323.07770325166
COL_304325,27572.137337686778
COL_304367,35349.324961664286
COL_304546,66022.16651533122
COL_304550,73941.44201113065
COL_304552,169274.39998882462
COL_304561,44116.336701274566
COL_304585,68602.35796125843
COL_304853,96339.53319077459
COL_304902,37648.099457462
COL_304978,49414.399866710606
COL_304984,36203.6587486517
COL_305002,40457.40135417332
COL_305017,58905.81150568703
COL_305038,28899.62525438206
COL_305057,35129.095592497506
COL_305058,36376.49815876667
COL_305059,36404.21950570329
COL_305114,251172.96464517174
COL_305373,49762.33565572778
COL_305382,78916.11719893133
COL_305383,76432.33231905327
COL_305384,80156.14803396746
COL_305385,80164.94735529166
COL_305386,78802.02995780512
COL_305387,80087.29396338016
COL_305388,78697.30502188
COL_305413,71334.66187164954
COL_305607,47084.84847026442
COL_305652,45794.6515326981
COL_305726,171983.78415345598
COL_305896,61277.62501975358
COL_305924,33464.25788227712
COL_305926,32460.622421693435
COL_306033,89342.67210599403
COL_306088,63306.87772492098
COL_306141,31018.90154400451
COL_306143,38284.74279028741
COL_306144,50696.1253360737
COL_306151,87968.80332201988
COL_306153,47772.94101333978
COL_306154,48364.59759184673
COL_306155,38652.63054399543
COL_306206,46613.72201335273
COL_306621,40403.70952092819
COL_306728,45111.9479860554
